,Merchant,Suburb,GPlace_Name,GPlace_Id,GAddr,GCat0,GCat1,GCat2
24,DISC PARTY WHSE,LIDCOMBE,Discount Party Warehouse,ChIJ15qzI1W7EmsRendOXGoDzpM,"M4/92 Parramatta Road, Lidcombe",home_goods_store,store,UNCATEGORIZED
25,JACQUELINE EVE 564,BURWOOD,Jacqui E,ChIJGwDtMcW6EmsRu7ekJELtS_w,"220/100 Burwood Road, Burwood",clothing_store,store,UNCATEGORIZED
26,,ALEXANDRIA MC,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
27,CALTEX CONCORD CONCORD,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
28,WESTFIELD BURWOOD,BURWOOD,Pharmacy 4 Less,ChIJ5bKxPsW6EmsR5jlGO7XBQPo,"100 Burwood Road, Burwood",pharmacy,health,store
29,TAIMEI BUSINESS PTY,ASHFIELD,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
30,KABUL TASTE PTY LTD,AUBURN,Kabul International Restaurant & Bakery,ChIJU3pxu7G8EmsROUSeZ8HEOf8,"20 Civic Road, Auburn",restaurant,food,UNCATEGORIZED
31,TARGET 5171,BURWOOD,Target Burwood,ChIJpUh8N8W6EmsRjsHSRohU4Us,"100-114 Burwood Road, Burwood",department_store,clothing_store,home_goods_store
34,MEDUSA GREEK MEZE,SYDNEY,Medusa Greek Meze,ChIJ8XZx5j6uEmsRh7I7MV1Lc6I,"111 York Street, Sydney",restaurant,meal_takeaway,food
36,RMS ETOLL PH 131865,PARRAMATTA,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
37,CBD NOODLES,SYDNEY,CBD Noodle,ChIJaadO40GuEmsR8xPQNYlZcQE,"1 O'Connell Street, Sydney",restaurant,food,UNCATEGORIZED
38,Ogalos Darlinghurst,DARLINGHURST,Ogalo Darlinghurst,ChIJA_J_UReuEmsRj84pU-wwG3Y,"149 Oxford Street, Darlinghurst",restaurant,food,UNCATEGORIZED
43,ASHFIELD BEST MEATS,ASHFIELD,Legend Noodle House,ChIJOxM4Mpa6EmsR39_lYUrXSQc,"241 Liverpool Road, Ashfield",restaurant,food,UNCATEGORIZED
45,ROSSINI AT THE QUAY,SYDNEY,Rossini Restaurant,ChIJh2C0gEKuEmsRvAupSeO_5nk,Alfred Street,restaurant,food,UNCATEGORIZED
47,ENERGYAUSTRALIA PTY LT MELBOURNE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
49,GG 151,CASTLECRAG,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
50,BEKYA GATEWAY,SYDNEY,Bekya,ChIJIduJc0KuEmsRz9Kr-USgJus,"Gateway, Alfred Street, Sydney",restaurant,food,UNCATEGORIZED
54,Benchmark Espresso,SYDNEY,Benchmark Espresso,ChIJLWPB6z6uEmsR7pv0x9tHNu8,"119-123 York Street, Sydney",UNCATEGORIZED,,
56,DIN TAI FUNG,SYDNEY,Din Tai Fung,ChIJpy35S9miEmsR5oS5PSbtkcs,"⛶ 504/5/188 Pitt Street, Sydney",restaurant,food,UNCATEGORIZED
57,PAYMENT THANKYOU 261068,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
59,HARBOURVIEW TAKEAWAY SHELLHARBOUR,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
61,BEAN CONNECTED,SYDNEY,AMP CENTER,ChIJK_kAwWmuEmsRXrYd-01gGUI,"7/50 Bridge Street, Sydney",cafe,food,UNCATEGORIZED
65,TPG Internet PTY LTD,NORTH RYDE,TPG Telecom,ChIJ6zDIWD5d1moRfHBO3nzf7c8,"65 Waterloo Road, North Ryde",UNCATEGORIZED,,
66,FANG FAN PTY LTD,SYDNEY,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
67,LUNEBURGER PTY LTD,SYDNEY,Luneburger German Bakery,ChIJiaA5U5vHEmsRMfmAGJXCSv0,"Shop 1066, Level 1 (Food Court) Westfield Shopping Centre 600 Kingsway, Miranda",bakery,food,store
68,AIRASIA X ON5IGD PAYPAL COM,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
69,DESHI GROCERIES,ASHFIELD,Deshi Groceries,ChIJxdD_cr26EmsRAs8KX1FpYTA,"5 Station Street, Ashfield",grocery_or_supermarket,food,store
73,HJ MARULAN NORTH MARULAN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
74,PANTANOS BAR  GRILL BATHURST,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
75,Grounds of The City,SYDNEY,The Grounds of the City,ChIJ2QUmiz6uEmsRQfMmet7xkzs,"Shop RG 12, 500 George Street, Sydney",restaurant,food,UNCATEGORIZED
76,BP EXP MARULAN 2330 MARULAN NORTH,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
77,SHELL TOLLAND TOLLAND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
78,,DRIVER,ABC Driving School,ChIJEXhAqZhitAER7Y3arvLsaVA,"2/9 Vangeli Street, Arndell Park",UNCATEGORIZED,,
79,DONUT KING BCC BATHURST,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
80,NEWMANS FUELS BLAYNEY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
81,WOOLWORTHS 1167 BATHURST,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
82,7ELEVEN 2201,BURWOOD,7-Eleven Burwood,ChIJP0ghYs66EmsRzk_8N1w_hFs,"Parramatta Road, Burwood",gas_station,atm,convenience_store
83,ENFES KEBABS,SYDNEY,Enfes Kebabs,ChIJDZpopzCuEmsRfXc9BfpPHaA,"Harbourside Shopping Centre, 2-10 Darling Drive, Sydney",restaurant,food,UNCATEGORIZED
88,Indian Street Food,SYDNEY,Bang Street Food,ChIJvVmbPhmuEmsRH0dAPfdKMA8,"3/410 Crown Street, Surry Hills",restaurant,food,UNCATEGORIZED
91,BBC,WORLD SQUARE,World Square,ChIJmwPYyTyuEmsRX0mvV93VCxs,"644 George Street, Sydney",shopping_mall,UNCATEGORIZED,
94,THE,EMUNGALAN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
97,QUAY PHARMACY,SYDNEY,Quay Pharmacy,ChIJ8dVPLWiuEmsR4E4i17CziKQ,"Circular Quay Station, E2-E3 Alfred Street, Circular Quay",pharmacy,health,store
98,QT SYDNEY,SYDNEY,QT Sydney,ChIJK6RwVT6uEmsRQ447JSUTGGI,"49 Market Street, Sydney",lodging,UNCATEGORIZED,
99,URBAN ARTISANS PL,ASHFIELD,The Urban Artisans,ChIJa8p5Ipa6EmsRs27IR7xhkDo,"273 Liverpool Road, Ashfield",cafe,food,UNCATEGORIZED
