Date,Amount,Description,Bank
10/09/2016,-89.8,"RETAIL PURCHASE AMAYSIM AUSTRALIA LIMI, SYDNEY 0809 AUD000000008980",BENDIGO
18/03/2016,-0.2,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *IRONHIDE,g.co/payhelp# 1603 AUD000000000020",BENDIGO
16/02/2017,-46.9,"RETAIL PURCHASE CHINESE NORTH RE,MARKET NSW 1402 AUD000000004690",BENDIGO
15/07/2016,-135.95,"RETAIL PURCHASE PADDY PALLIN, SYDNEY 1407 AUD000000013595",BENDIGO
31/08/2016,-11.8,"RETAIL PURCHASE CHINESE NORTH RE,MARKET NSW 2808 AUD000000001180",BENDIGO
22/03/2016,1600.0,E-BANKING TRANSFER 0101188383 00247011611301,BENDIGO
25/05/2017,-27.8,"RETAIL PURCHASE MGM SPICES, SURRY HILLS 2405 AUD000000002780",BENDIGO
11/10/2017,-11.0,"RETAIL PURCHASE UNICAFE, KENSINGTON 0910 AUD000000001100",BENDIGO
29/06/2016,-82.93,"RETAIL PURCHASE ALDI 066, BROADWAY 2706 AUD000000008293",BENDIGO
10/10/2017,-50.02,"RETAIL PURCHASE COLES 08001, RANDWICK 0910 AUD000000005002",BENDIGO
31/08/2017,-100.00,Wdl ATM CBA ATM  WYNYARD D      NSW 200904   AUS,CBA
12/03/2016,-288.08,"RETAIL PURCHASE DEPT. OF IMMIGRATION,SOUTHPORT 0903 AUD000000028808",BENDIGO
23/03/2017,-75.46,"RETAIL PURCHASE COLES 0839, BROADWAY 2203 AUD000000007546",BENDIGO
06/10/2017,-38.7,"RETAIL PURCHASE TARONGA ZOO, MOSMAN 0510 AUD000000003870",BENDIGO
04/08/2017,-50.68,"RETAIL PURCHASE TRAVEL INSURANC1,PACIFIC PARAD 0308 AUD000000005068",BENDIGO
7/9/2017,-500.00,DEFT RENT            NetBank BPAY 4481 26169508 1 9 gray week rent,CBA
27/06/2017,-99.44,"RETAIL PURCHASE CHEMIST WAREHOUSE, RANDWICK 2606 AUD000000009944",BENDIGO
25/08/2017,-12.00,LITTLE VIENNA PTY LT SYDNEY NS AUS Card xx7113 Value Date: 23/08/2017,CBA
19/12/2015,-10.0,"RETAIL PURCHASE AMAYSIM AUSTRALIA LIMI, SYDNEY 1712 AUD000000001000",BENDIGO
24/11/2015,-9.5,"RETAIL PURCHASE YUMMBA, KENSINGTON 2011 AUD000000000950",BENDIGO
19/01/2017,-220.0,"RETAIL PURCHASE JIM S TERMITE AND PEST,TELOPEA 1801 AUD000000022000",BENDIGO
03/04/2016,-1.97,INTERNATIONAL TRANSACTION FEE,BENDIGO
23/10/2015,-214.0,"RETAIL PURCHASE INNER CITY CYCLES, GLEBE 2110 AUD000000021400",BENDIGO
28/07/2017,-54.87,CHEMIST WAREHOUSE HURSTVILLE NS AUS Card xx8731 Value Date: 26/07/2017,CBA
20/03/2016,-3.8,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *Ahoiii G,g.co/payhelp# 1803 AUD000000000380",BENDIGO
28/06/2016,-158.07,"RETAIL PURCHASE COLES 0839, BROADWAY 2706 AUD000000015807",BENDIGO
23/05/2017,-35.90,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 19/05/2017,CBA
2/6/2017,-18.65,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 31/05/2017,CBA
28-08-2017,-40.0,TRANSPORT FOR NSW-OPAL CHIPPENDALE,ANZ
13/09/2017,-17.99,Netflix.com Melbourne AU AUS Card xx7113 Value Date: 09/09/2017,CBA
9/8/2017,-12.00,BIANCHINI'S ESPRESSO GYMEA NS AUS Card xx7113 Value Date: 05/08/2017,CBA
09/03/2016,-9.5,"RETAIL PURCHASE TASTE BAGUETTE 2,NEY NSW 0603 AUD000000000950",BENDIGO
22-08-2017,-20.97,PORTMANS A43 HOMEBUSH,ANZ
12/9/2017,-22.30,CHATKAZZ PTY LTD HARRIS PARK  AUS Card xx7113 Value Date: 09/09/2017,CBA
27/02/2016,-184.97,"RETAIL PURCHASE REBEL BROADWAY, BROADWAY 2502 AUD000000018497",BENDIGO
8/7/2017,-69.97,PRETTY GIRL FASHION MIRANDA NS AUS Card xx8731 Value Date: 06/07/2017,CBA
03/08/2016,-8.15,"RETAIL PURCHASE POWERSHOP AUSTRALIA, MELBOURNE 2907 AUD000000000815",BENDIGO
22/11/2016,-38.7,"RETAIL PURCHASE COLES 0839, BROADWAY 2111 AUD000000003870",BENDIGO
10/05/2017,-215.1,"RETAIL PURCHASE-INTERNATIONAL EAT SLEEP KNIT, 04049612652 0605 USD000000015875",BENDIGO
13/03/2016,-60.0,"RETAIL PURCHASE QUEENSLAND MUSE1,SOUTH BRISBAN 1203 AUD000000006000",BENDIGO
23/07/2017,-48.96,"RETAIL PURCHASE AGL RETAIL ENERGY,NORTH SYDNEY 2107 AUD000000004896",BENDIGO
23/06/2017,-69.54,"RETAIL PURCHASE AGL RETAIL ENERGY,NORTH SYDNEY 2106 AUD000000006954",BENDIGO
20/04/2017,-255.92,"RETAIL PURCHASE SUPERDRY CENTRAL P,CHIPPENDALE 1704 AUD000000025592",BENDIGO
22/02/2017,-0.12,INTERNATIONAL TRANSACTION FEE,BENDIGO
24/05/2017,-44.05,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 21/05/2017,CBA
17/06/2017,64.00,Transfer from KARUNA BHETWAL CommBank app dinner,CBA
15/04/2017,-40.55,"RETAIL PURCHASE Woolworths, BROADWAY 1304 AUD000000004055",BENDIGO
10/8/2017,-7.50,TASTE BAGUETTE HURST HURSTVILLE NS AUS Card xx7113 Value Date: 06/08/2017,CBA
30/08/2017,-4.00,HOK LAI PTY LTD    QPS HAYMARKET  AUS Card xx8731 Value Date: 29/08/2017,CBA
05/03/2017,-4.1,"RETAIL PURCHASE MCDONALDS DARLING QTR, SYDNEY 0203 AUD000000000410",BENDIGO
01/12/2015,-69.9,"RETAIL PURCHASE MEDICAL CENTRE PHARM1,RANDWICK 3011 AUD000000006990",BENDIGO
21/07/2016,-49.6,"RETAIL PURCHASE MENULOG PTY LTD, SYDNEY 2007 AUD000000004960",BENDIGO
25/05/2017,-33.38,"RETAIL PURCHASE POST UNIVERSITY OF, KENSINGTON 2305 AUD000000003338",BENDIGO
22/07/2017,-2.50,WOOLWORTHS 1620 SYDNEY  AUS Card xx7113 Value Date: 21/07/2017,CBA
10/08/2016,-45.33,"RETAIL PURCHASE AMAYSIM AUSTRALIA LIMI, SYDNEY 0808 AUD000000004533",BENDIGO
05/09/2017,-8.0,"RETAIL PURCHASE WOOLWORTHS 1905, BROADWAY 0209 AUD000000000800",BENDIGO
26/06/2016,-8.0,"RETAIL PURCHASE MCDONALDS COOGEE, COOGEE 2306 AUD000000000800",BENDIGO
11/03/2016,-48.79,"RETAIL PURCHASE WOOLWORTHS 1905, BROADWAY 0903 AUD000000004879",BENDIGO
28/08/2017,-59.99,Direct Debit 142619 TPG Internet DH8R0HCKHEJ-03GJKN,CBA
27/01/2016,-13.75,"RETAIL PURCHASE JOHNNYS FRESH, PYRMONT 2501 AUD000000001375",BENDIGO
06-09-2017,-40.0,TRANSPORT FOR NSW-OPAL CHIPPENDALE,ANZ
03/02/2016,-270.0,"RETAIL PURCHASE SYDNEYS BABY KINGDO,ALEXANDRIA 0102 AUD000000027000",BENDIGO
19-09-2017,-10.06,CALTEX CONCORD CONCORD,ANZ
28/05/2016,-0.12,INTERNATIONAL TRANSACTION FEE,BENDIGO
16/06/2017,-4.00,PEGASUS THAI PTY LTD SYDNEY  AUS Card xx7113 Value Date: 15/06/2017,CBA
24/05/2017,-64.48,"RETAIL PURCHASE COLES 08001, RANDWICK 2305 AUD000000006448",BENDIGO
30/09/2016,-417.01,WITHDRAWAL-INTERNATIONAL ATM EXC.TROPICAL GARDENRES PHUKET 3009 AUD000000040867,BENDIGO
25/12/2015,-21.54,"RETAIL PURCHASE BONDS BROADWAY, BROADWAY 2212 AUD000000002154",BENDIGO
20/08/2017,-4.2,"RETAIL PURCHASE PARKING WILLOUGHBY C,CHATSWOOD 1908 AUD000000000420",BENDIGO
28/01/2017,-50.0,"RETAIL PURCHASE PP*WAKARLA JC, New Lambton 2601 AUD000000005000",BENDIGO
13/09/2017,-44.84,"RETAIL PURCHASE ALDI STORES, BROADWAY 0909 AUD000000004484",BENDIGO
17/02/2016,-25.9,"RETAIL PURCHASE CREATE CATERING, IMO NSW 1402 AUD000000002590",BENDIGO
04/09/2016,-110.91,"RETAIL PURCHASE COLES 0921, KATOOMBA 0209 AUD000000011091",BENDIGO
23/09/2016,-0.4,INTERNATIONAL TRANSACTION FEE,BENDIGO
01/09/2017,-73.24,"RETAIL PURCHASE WOOLWORTHS 1905, BROADWAY 3108 AUD000000007324",BENDIGO
23/12/2015,-0.34,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *Square E,GOOGLE.COM/CH 2112 AUD000000000034",BENDIGO
19/02/2016,-28.0,"RETAIL PURCHASE SPLENDID SANDWIC,NEY NSW 1702 AUD000000002800",BENDIGO
19/12/2015,-5.45,"RETAIL PURCHASE ParcelPoint PL, ALEXANDRIA 1812 AUD000000000545",BENDIGO
15/10/2016,-11.93,"RETAIL PURCHASE-INTERNATIONAL AMAZON SERVICES-1,866-216-1072 1310 USD000000000899",BENDIGO
13/04/2017,-0.93,INTERNATIONAL TRANSACTION FEE,BENDIGO
5/8/2017,-10.50,PLINE PH SUTHERLAND SUTHERLAND  AUS Card xx7113 Value Date: 01/08/2017,CBA
23/09/2017,-12.00,GUZMAN Y GOMEZ MLC QPS SYDNEY  AUS Card xx7113 Value Date: 21/09/2017,CBA
06/02/2016,3000.0,CREDIT TRANSFER 0099046281 00247011616601,BENDIGO
14/03/2017,-32.7,"RETAIL PURCHASE RATHMINES TAKEAWAY, RATHMINES 1203 AUD000000003270",BENDIGO
19/09/2017,-4.00,HOK LAI PTY LTD    QPS HAYMARKET  AUS Card xx8731 Value Date: 18/09/2017,CBA
5/7/2017,-17.00,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 03/07/2017,CBA
15/12/2015,-12.17,"RETAIL PURCHASE-INTERNATIONAL Amazon Services-K,866-321-8851 1212 USD000000000874",BENDIGO
04/11/2015,-50.0,"RETAIL PURCHASE DOCUMENTARY AUST, PADDINGTON 0311 AUD000000005000",BENDIGO
25/11/2015,-20.0,"RETAIL PURCHASE BEACH BURRITO COM,DARLINGHURST 2311 AUD000000002000",BENDIGO
27/09/2017,-40.85,HARVIN SPICES HURSTVILLE NS AUS Card xx7113 Value Date: 23/09/2017,CBA
02/03/2017,-91.5,"RETAIL PURCHASE PIZZERIA TRATTORIA GIG,NEWTOWN 0103 AUD000000009150",BENDIGO
20/08/2017,-50.0,"RETAIL PURCHASE Theatre Bars, Sydney 1908 AUD000000005000",BENDIGO
19/01/2017,-52.36,"RETAIL PURCHASE BIGWAREHOUSE PTY LTD, CORRIMAL 1801 AUD000000005236",BENDIGO
04/05/2017,-634.9,"RETAIL PURCHASE TRAVEL RESERVATION AU, SYDNEY 0205 AUD000000063490",BENDIGO
02/07/2016,-14.5,"RETAIL PURCHASE GUYLIAN BELGIAN CHOQPS, SYDNEY 2906 AUD000000001450",BENDIGO
24/06/2017,-5.00,TRIPLE C MANAGEMENTQPS SYDNEY  AUS Card xx7113 Value Date: 23/06/2017,CBA
02/04/2017,-23.0,"RETAIL PURCHASE THE OLD CITY BANK BAR,KATOOMBA 3103 AUD000000002300",BENDIGO
06/06/2017,-20.0,"RETAIL PURCHASE QUARRY ST CAFE, ULTIMO 0306 AUD000000002000",BENDIGO
09/12/2015,-9.91,"RETAIL PURCHASE-INTERNATIONAL Amazon Services-K,866-321-8851 0712 USD000000000719",BENDIGO
07/01/2016,-57.71,"RETAIL PURCHASE COLES 08001, RANDWICK 0601 AUD000000005771",BENDIGO
04/08/2017,-47.47,"RETAIL PURCHASE WOOLWORTHS 1905, BROADWAY 0308 AUD000000004747",BENDIGO
10/08/2017,-14.37,"RETAIL PURCHASE Woolworths, BROADWAY 0808 AUD000000001437",BENDIGO
22/07/2016,-9.0,"RETAIL PURCHASE TARONGA CONSERVATION S, MOSMAN 2107 AUD000000000900",BENDIGO
13/08/2017,-100.00,Wdl ATM CBA ATM  SUTHERLAND     NSW 225901   AUS,CBA
07/05/2017,-32.8,"RETAIL PURCHASE BURGER PROJECT BROADW,BROADWAY 0505 AUD000000003280",BENDIGO
09/06/2017,-53.8,"RETAIL PURCHASE COLES 0839, BROADWAY 0806 AUD000000005380",BENDIGO
21/02/2016,-10.0,"RETAIL PURCHASE AMAYSIM AUSTRALIA LIMI, SYDNEY 1902 AUD000000001000",BENDIGO
21/06/2017,-3.90,LA COFFEES PTY LTD SYDNEY NS AUS Card xx8731 Value Date: 19/06/2017,CBA
27/08/2017,-16.0,"RETAIL PURCHASE COLES EXPRESS 1698, ULTIMO 2608 AUD000000001600",BENDIGO
10/06/2017,-190.0,"RETAIL PURCHASE SYDNEY ELECTRIC BIKE, PYRMONT 0906 AUD000000019000",BENDIGO
01/09/2016,-4.39,INTERNATIONAL TRANSACTION FEE,BENDIGO
14/07/2017,-24.99,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *Google, g.co/helppay# 1207 AUD000000002499",BENDIGO
26/08/2017,-12.61,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 24/08/2017,CBA
06/12/2016,1400.0,E-BANKING TRANSFER 0114430494 00247011611301,BENDIGO
13/06/2017,-9.20,KOKO BLACK AUSTRALIA P SYDNEY  AUS Card xx7113 Value Date: 09/06/2017,CBA
04/01/2017,-0.29,INTERNATIONAL TRANSACTION FEE,BENDIGO
18/11/2015,-10.55,"RETAIL PURCHASE SUBWAY UNSW PTY LTD,KENSINGTON 1711 AUD000000001055",BENDIGO
23/11/2016,-14.39,"RETAIL PURCHASE UBER AU NOV23 HZHJW, SYDNEY 2211 AUD000000001439",BENDIGO
30/07/2017,-23.98,"RETAIL PURCHASE HFM BROADWAY QPS, BROADWAY 2807 AUD000000002398",BENDIGO
14/08/2016,-6.51,"RETAIL PURCHASE-INTERNATIONAL Audible US, 888-283-5051 1208 USD000000000499",BENDIGO
07/06/2016,-117.28,"RETAIL PURCHASE MORRIS AND SONS SYDN, SYDNEY 0506 AUD000000011728",BENDIGO
18/12/2015,-15.3,"RETAIL PURCHASE HOB QUA F B SER ,IMO NSW 1612 AUD000000001530",BENDIGO
26/07/2017,420.0,E-BANKING TRANSFER 0127632204 00247011611301,BENDIGO
15/11/2015,-17.5,"RETAIL PURCHASE SONOMA BAKERY CAFE, GLEBE 1411 AUD000000001750",BENDIGO
2/9/2017,-3.99,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 31/08/2017,CBA
14/10/2015,-113.59,"RETAIL PURCHASE-INTERNATIONAL KHAADI OCEAN HOME, KARACHI 1010 PKR000000870000",BENDIGO
25/08/2016,-25.0,"RETAIL PURCHASE LIQUORLAND 3638, GLEBE 2408 AUD000000002500",BENDIGO
11/08/2017,-12.48,"RETAIL PURCHASE IKEA TEMPE1, TEMPE 1008 AUD000000001248",BENDIGO
23/05/2017,-14.49,"RETAIL PURCHASE SILVER SERVIC 133,DARLINGHURST 2205 AUD000000001449",BENDIGO
26/07/2017,-17.39,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 23/07/2017,CBA
20/01/2017,-24.99,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *Google 6,g.co/payhelp# 1801 AUD000000002499",BENDIGO
05-09-2017,-3.5,NEWMANS FUELS BLAYNEY,ANZ
24/02/2016,-54.7,"RETAIL PURCHASE KENNARDS SELF STORAGE, ULTIMO 2202 AUD000000005470",BENDIGO
29/02/2016,1000.0,E-BANKING TRANSFER 0100085994 00247011611301,BENDIGO
03/11/2016,-119.02,"RETAIL PURCHASE HFM BROADWAY, BROADWAY 0111 AUD000000011902",BENDIGO
21/09/2017,-4.00,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 19/09/2017,CBA
24/08/2017,-24.54,"RETAIL PURCHASE BURGER PROJECT BROADW,BROADWAY 2108 AUD000000002454",BENDIGO
04/01/2017,-20.76,"RETAIL PURCHASE-INTERNATIONAL Amazon Services-K,866-321-8851 0201 USD000000001499",BENDIGO
30/10/2016,-27.5,"RETAIL PURCHASE COLES 0839, BROADWAY 2910 AUD000000002750",BENDIGO
10/05/2017,-6.45,INTERNATIONAL TRANSACTION FEE,BENDIGO
20/06/2017,-9.0,"RETAIL PURCHASE TARONGA ZOO, MOSMAN 1706 AUD000000000900",BENDIGO
7/6/2017,-12.53,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 05/06/2017,CBA
19/03/2016,-2.62,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *Google S,g.co/payhelp# 1803 USD000000000199",BENDIGO
6/7/2017,-6.50,OPORTO CENTRAL SYDNEY NS AUS Card xx8731 Value Date: 04/07/2017,CBA
05-09-2017,-39.1,SHELL TOLLAND TOLLAND,ANZ
31/05/2017,-36.80,MOONLIGHT VIET CUISINE SUTHERLAND NS AUS Card xx7113 Value Date: 26/05/2017,CBA
07/09/2016,-21.5,"RETAIL PURCHASE DASHS BLACKHEATH PH,BLACKHEATH 0409 AUD000000002150",BENDIGO
09/04/2017,-31.6,"RETAIL PURCHASE WOLESLEY MGT PTY LTD, ULTIMO 0604 AUD000000003160",BENDIGO
20/07/2017,-35.3,"RETAIL PURCHASE COLES 08001, RANDWICK 1907 AUD000000003530",BENDIGO
13/04/2017,-30.94,"RETAIL PURCHASE-INTERNATIONAL SHAKE SHACK CC D326, DUBAI 1104 AED000000008500",BENDIGO
14/01/2016,-41.9,"RETAIL PURCHASE COLES 0839, BROADWAY 0201 AUD000000004190",BENDIGO
13/09/2017,-6.17,"RETAIL PURCHASE-INTERNATIONAL Audible US, 888-283-5051 1109 USD000000000495",BENDIGO
17/03/2016,-198.0,"RETAIL PURCHASE AUST FOR UNHCR, SYDNEY 1603 AUD000000019800",BENDIGO
14/10/2017,-64.58,"RETAIL PURCHASE Woolworths, HAYMARKET 1210 AUD000000006458",BENDIGO
30/09/2016,-8.34,ATM OPERATOR FEE EXC.TROPICAL GARDENRES PHUKET 3009 AUD000000000834,BENDIGO
16/08/2017,-124.97,FOREVER NEW CLTHNG SYDNEY NS AUS Card xx8731 Value Date: 13/08/2017,CBA
23/11/2016,374.0,E-BANKING TRANSFER 0113688808 00247011611301,BENDIGO
18/03/2017,-518.95,"RETAIL PURCHASE KELLYS CAMP OUTDOOR, DEE WHY 1703 AUD000000051895",BENDIGO
7/6/2017,-35.75,HARVIN SPICES HURSTVILLE NS AUS Card xx7113 Value Date: 04/06/2017,CBA
02/05/2017,-35.8,"RETAIL PURCHASE MALACCA STRAITS BRDWAY, ULTIMO 2804 AUD000000003580",BENDIGO
15/06/2017,-5.67,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 12/06/2017,CBA
27/08/2017,-7.0,"RETAIL PURCHASE SUSHIROLL UNSW PL, KENSINGTON 2408 AUD000000000700",BENDIGO
24/08/2017,-4.00,GPBM PTY LTD SYDNEY NS AUS Card xx7113 Value Date: 22/08/2017,CBA
15/11/2016,-73.51,"RETAIL PURCHASE DAVID JONES LIMI,BONDI JUNCTIO 1311 AUD000000007351",BENDIGO
20/06/2017,-7.48,"RETAIL PURCHASE SAI GLOBAL PROPERTY D, SYDNEY 1706 AUD000000000748",BENDIGO
22/08/2017,-69.0,"RETAIL PURCHASE-INTERNATIONAL OBikeInc *1JIOBKG3J, HONG KONG 1908 AUD000000006900",BENDIGO
01/09/2016,-146.41,"RETAIL PURCHASE-INTERNATIONAL NADRA, ISLAMABAD 2908 PKR000001150000",BENDIGO
17/05/2016,2290.0,CREDIT TRANSFER 0103862121 00247011616601,BENDIGO
16/04/2017,-28.9,"RETAIL PURCHASE CAFE GIULIA, CHIPPENDALE 1404 AUD000000002890",BENDIGO
17/06/2017,-143.08,"RETAIL PURCHASE GoGetCarshare, HAYMARKET 1606 AUD000000014308",BENDIGO
14/09/2017,-40.00,TRANSPORT FOR NSW SYDNEY  AUS Card xx8731 Value Date: 12/09/2017,CBA
18/10/2016,-13.55,"RETAIL PURCHASE GALLUZZO FRUITERERS, GLEBE 1510 AUD000000001355",BENDIGO
20/10/2016,-0.12,INTERNATIONAL TRANSACTION FEE,BENDIGO
9/6/2017,-8.00,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 06/06/2017,CBA
05/05/2017,-3.5,"RETAIL PURCHASE COLES EXPRESS 1698, ULTIMO 0405 AUD000000000350",BENDIGO
30/10/2016,-16.7,"RETAIL PURCHASE COLES 0839, BROADWAY 2910 AUD000000001670",BENDIGO
04/05/2017,-109.33,"RETAIL PURCHASE-INTERNATIONAL AMAZON MKTPLACE PM1,AMAZON.COM 0305 AUD000000010933",BENDIGO
21/09/2016,-75.9,"RETAIL PURCHASE COLES 0839, BROADWAY 2009 AUD000000007590",BENDIGO
08/09/2016,-11.0,"RETAIL PURCHASE SOUKS MEDITERRAN,MONT NSW 0509 AUD000000001100",BENDIGO
11/05/2016,-17.78,"RETAIL PURCHASE-INTERNATIONAL AMAZON SERVICES-1,866-216-1072 0905 USD000000001299",BENDIGO
28/02/2016,-110.0,"RETAIL PURCHASE QTIX - INTERNET ,SOUTH BRISBAN 2602 AUD000000011000",BENDIGO
14/09/2017,-12.39,CHEMIST WAREHOUSE HURSTVILLE NS AUS Card xx8731 Value Date: 11/09/2017,CBA
15/12/2015,-2.92,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *Vlambeer,GOOGLE.COM/CH 1312 AUD000000000292",BENDIGO
22/03/2017,-102.77,"RETAIL PURCHASE COLES 0839, BROADWAY 1903 AUD000000010277",BENDIGO
23/05/2017,-12.12,"RETAIL PURCHASE Newslink SYD208, Mascot 2105 AUD000000001212",BENDIGO
30/08/2017,-3.3,"RETAIL PURCHASE COCA-COLA AMATIL, SYDNEY 2708 AUD000000000330",BENDIGO
30/08/2017,-7.30,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 28/08/2017,CBA
23/05/2017,-12.00,LIQUORLAND 3403 SUTHERLAND AU AUS Card xx7113 Value Date: 19/05/2017,CBA
22/02/2017,-23.34,"RETAIL PURCHASE ALDI STORES, BROADWAY 1702 AUD000000002334",BENDIGO
23/06/2017,-40.00,TRANSPORT FOR NSW SYDNEY  AUS Card xx8731 Value Date: 21/06/2017,CBA
29/09/2017,-211.8,"RETAIL PURCHASE-INTERNATIONAL SP * SHAMMA SANDALS,8312391823 2709 USD000000016600",BENDIGO
19/04/2017,-50.88,"RETAIL PURCHASE GAINWAY INTERNATIO,CHIPPENDALE 1704 AUD000000005088",BENDIGO
28-08-2017,-9.17,GITHUB.COM CLN2E 4154486673 7.00 USD 0.27 AUD,ANZ
10/10/2017,-14.0,"RETAIL PURCHASE PUB LIFE KITCHEN, ULTIMO 0810 AUD000000001400",BENDIGO
25/12/2015,-70.6,"RETAIL PURCHASE HFM BROADWAY, BROADWAY 2312 AUD000000007060",BENDIGO
02/07/2016,-54.0,"RETAIL PURCHASE WOOLWORTHS LIQUOR 17,HAYMARKET 0107 AUD000000005400",BENDIGO
2/9/2017,-21.50,BWS LIQUOR W1484 SUTHERLAND  AUS Card xx8731 Value Date: 31/08/2017,CBA
6/7/2017,-7.30,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 04/07/2017,CBA
02/02/2016,-0.89,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *Sago Sag,GOOGLE.COM/CH 3001 AUD000000000089",BENDIGO
26/09/2017,-86.28,"RETAIL PURCHASE PYRMONT SUPA IGA, PYRMONT 2209 AUD000000008628",BENDIGO
22/11/2015,-8.09,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *11 bit s,GOOGLE.COM/CH 2011 AUD000000000809",BENDIGO
06/10/2017,-1.69,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *Pixelbit,g.co/helppay# 0410 AUD000000000169",BENDIGO
13/10/2017,-0.19,INTERNATIONAL TRANSACTION FEE,BENDIGO
02/05/2017,-10.0,"RETAIL PURCHASE UNIQLO, SYDNEY 2804 AUD000000001000",BENDIGO
25-09-2017,-200.0,BUNNINGS 572000 PENRITH,ANZ
04-09-2017,-2.59,WOOLWORTHS 1167 BATHURST,ANZ
15/03/2016,-43.8,"RETAIL PURCHASE ABN QLD PL, SOUTH BRISBAN 1203 AUD000000004380",BENDIGO
23/08/2017,-12.00,BEST & LESS HURSTVILLE  AUS Card xx8731 Value Date: 21/08/2017,CBA
02/06/2016,-0.41,INTERNATIONAL TRANSACTION FEE,BENDIGO
22/08/2017,-4.50,BIANCHINI'S ESPRESSO GYMEA NS AUS Card xx8731 Value Date: 18/08/2017,CBA
24/05/2017,-33.25,"RETAIL PURCHASE MOMAD ENTERPRISES PL,BANKSTOWN 2105 AUD000000003325",BENDIGO
24/04/2016,-20.05,"RETAIL PURCHASE MCDONALDS HEATHCOTE, HEATHCOTE 2104 AUD000000002005",BENDIGO
12/9/2017,-10.99,UBER   *TRIP 7GVI6 SYDNEY NS AUS Card xx8731 Value Date: 07/09/2017,CBA
16/08/2017,-20.00,SUTHERLAND MEDICAL SUTHERLAND  AUS Card xx8731 Value Date: 15/08/2017,CBA
26/05/2017,-9.0,"RETAIL PURCHASE TARONGA CONSERVATION S, MOSMAN 2505 AUD000000000900",BENDIGO
30/08/2016,-0.2,INTERNATIONAL TRANSACTION FEE,BENDIGO
29/04/2017,-20.68,"RETAIL PURCHASE PAYPAL *JSKYPTYLTD, 4029357733 2704 AUD000000002068",BENDIGO
29/09/2017,-8.5,"RETAIL PURCHASE TASTE BAGUETTE DARLN, SYDNEY 2609 AUD000000000850",BENDIGO
18/12/2015,-9.5,"RETAIL PURCHASE RANDWICK FRESH PTY L, RANDWICK 1612 AUD000000000950",BENDIGO
01/04/2017,-124.05,"RETAIL PURCHASE WOW Online, BELLA VISTA 2903 AUD000000012405",BENDIGO
20/08/2016,-195.96,"RETAIL PURCHASE IKEA, RHODES 1908 AUD000000019596",BENDIGO
02/05/2017,-20.0,"RETAIL PURCHASE LIQUORLAND 3638, GLEBE 3004 AUD000000002000",BENDIGO
01/04/2016,-59.99,"RETAIL PURCHASE TPG INTERNET PTY LT,NORTH RYDE 3103 AUD000000005999",BENDIGO
23/12/2015,-50.0,"RETAIL PURCHASE TARGET 5286, GLEBE 2212 AUD000000005000",BENDIGO
17/03/2016,-59.81,"RETAIL PURCHASE GoGetCarshare, HAYMARKET 1503 AUD000000005981",BENDIGO
21/05/2017,-8.6,"RETAIL PURCHASE MCDONALDS DARLING QTR, SYDNEY 1805 AUD000000000860",BENDIGO
10/02/2017,-15.05,"RETAIL PURCHASE AUST MUSEUM TRU1,LINGHURST NSW 0902 AUD000000001505",BENDIGO
03/03/2017,-12.0,"RETAIL PURCHASE COW AND THE MOON, ENMORE 0103 AUD000000001200",BENDIGO
15/12/2015,-20.0,"RETAIL PURCHASE Glasgow Arms Hotel, Ultimo 1412 AUD000000002000",BENDIGO
06/06/2017,-36.1,"RETAIL PURCHASE WOOLWORTHS 1905, BROADWAY 0306 AUD000000003610",BENDIGO
13/11/2016,-12.39,"RETAIL PURCHASE Chemistworks Broadway,Broadway 1211 AUD000000001239",BENDIGO
15/01/2016,-2.85,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *Google S,GOOGLE.COM/CH 1301 USD000000000199",BENDIGO
03/06/2016,-16.5,"RETAIL PURCHASE LIQUORLAND, GLEBE 0206 AUD000000001650",BENDIGO
29/06/2016,-324.0,"RETAIL PURCHASE SWANN INSURANCE AUST,MELBOURNE 2706 AUD000000032400",BENDIGO
